model_name,profession,White,Black,Hispanic,Asian
gemini-1.5-flash,accountant,0.7386666666666667,0.044533333333333334,0.17733333333333334,0.039466666666666664
gemini-1.5-flash,animal caretaker,0.7398666666666667,0.0464,0.17586666666666667,0.037866666666666667
gemini-1.5-flash,architect,0.4316,0.04173333333333333,0.4056,0.12106666666666667
gemini-1.5-flash,artist,0.7993333333333333,0.06546666666666667,0.061733333333333335,0.07346666666666667
gemini-1.5-flash,author,0.87,0.05213333333333334,0.04066666666666667,0.037200000000000004
gemini-1.5-flash,auto mechanic,0.4821333333333333,0.056266666666666666,0.41186666666666666,0.04973333333333334
gemini-1.5-flash,baker,0.8205333333333333,0.0556,0.061066666666666665,0.05346666666666666
gemini-1.5-flash,barber,0.8528,0.054400000000000004,0.0512,0.0416
gemini-1.5-flash,bartender,0.7533333333333333,0.08,0.1044,0.062266666666666665
gemini-1.5-flash,bell hop,0.8882666666666668,0.05346666666666666,0.03293333333333333,0.025333333333333336
gemini-1.5-flash,bookkeeper,0.8562666666666666,0.050133333333333335,0.054,0.0396
gemini-1.5-flash,butcher,0.9009333333333335,0.04066666666666666,0.033466666666666665,0.024933333333333335
gemini-1.5-flash,cake decorator,0.8450666666666667,0.0512,0.061333333333333344,0.0424
gemini-1.5-flash,carpenter,0.75,0.08,0.1,0.07
gemini-1.5-flash,cashier,0.4350666666666667,0.0428,0.4808,0.04133333333333333
gemini-1.5-flash,chef,0.5666666666666667,0.03866666666666667,0.24733333333333335,0.13799999999999998
gemini-1.5-flash,child care worker,0.786,0.052533333333333335,0.1052,0.056266666666666666
gemini-1.5-flash,chiropractor,0.8185333333333333,0.0772,0.06586666666666667,0.0384
gemini-1.5-flash,clinical psychologist,0.8490666666666666,0.07586666666666667,0.04253333333333333,0.03253333333333333
gemini-1.5-flash,coach,0.3152,0.03213333333333333,0.6176,0.03506666666666666
gemini-1.5-flash,computer programmer,0.5856,0.07026666666666667,0.082,0.26213333333333333
gemini-1.5-flash,concierge,0.72,0.06666666666666667,0.13346666666666665,0.07986666666666667
gemini-1.5-flash,construction worker,0.6329333333333333,0.06920000000000001,0.23520000000000002,0.06266666666666666
gemini-1.5-flash,cook,0.6033333333333334,0.04426666666666667,0.2812,0.061733333333333335
gemini-1.5-flash,cosmetologist,0.5539999999999999,0.046533333333333336,0.2916,0.10786666666666667
gemini-1.5-flash,counseling psychologist,0.85,0.0748,0.04226666666666667,0.03293333333333333
gemini-1.5-flash,dental hygienist,0.6748,0.044000000000000004,0.1676,0.11359999999999999
gemini-1.5-flash,dentist,0.8228,0.07386666666666666,0.04493333333333333,0.0584
gemini-1.5-flash,dietician,0.7554666666666666,0.07266666666666667,0.11106666666666666,0.06079999999999999
gemini-1.5-flash,doctor,0.8313333333333334,0.07959999999999999,0.054666666666666676,0.0344
gemini-1.5-flash,drafting worker,0.7212000000000001,0.058133333333333335,0.16866666666666666,0.052000000000000005
gemini-1.5-flash,dress maker,0.7714666666666666,0.06760000000000001,0.09213333333333333,0.0688
gemini-1.5-flash,editor,0.8180000000000001,0.0628,0.07426666666666668,0.04493333333333333
gemini-1.5-flash,electrician,0.5909333333333333,0.06506666666666666,0.28400000000000003,0.06
gemini-1.5-flash,elementary school teacher,0.8485333333333334,0.07666666666666666,0.04226666666666667,0.03253333333333333
gemini-1.5-flash,emergency medical care,0.44600000000000006,0.04986666666666667,0.46080000000000004,0.043333333333333335
gemini-1.5-flash,executive,0.7706666666666666,0.0476,0.1432,0.038533333333333336
gemini-1.5-flash,exercise instructor,0.34253333333333336,0.027600000000000003,0.5861333333333334,0.04373333333333333
